epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.3505193934712132,1.2951765422579609,36.328125,36.3275
2,1.2747662577656547,1.2386657482461085,37.890625,38.9
3,1.2284478381590742,1.1795723242095755,42.1875,43.57
4,1.181382022221273,1.1224223631846755,44.921875,46.955
5,1.1364253046263966,1.0800604910790166,44.53125,48.9225
6,1.113132919856393,1.0647815307484398,50.78125,50.3825
7,1.0971455400903791,1.051172418684899,44.921875,50.9325
8,1.0853338480682153,1.0409148275097715,50.78125,52.01
9,1.0745948179745934,1.0287081244625622,52.734375,52.5775
10,1.0661358805855954,1.0169459219220318,51.171875,52.765
11,1.0573209203441252,1.0052890626690056,55.078125,53.6825
12,1.0491352139263679,1.0035865352123599,51.953125,53.7275
13,1.0417790915519094,0.9893168701401239,56.25,54.3775
14,1.034609793510791,0.9810463076905359,56.25,55.21
15,1.028027299879761,0.9750098812429211,55.859375,55.5725
16,1.0217827022342596,0.9659940977639789,55.46875,56.2475
17,1.0144043292514193,0.9590408371973641,53.90625,56.6575
18,1.0088406889315074,0.9527079621447793,55.859375,57.0375
19,1.002070456724173,0.9443390603306927,51.171875,57.765
20,0.9955697811267655,0.9397903348826155,57.03125,58.255
21,0.989942712274333,0.9299669846703734,58.59375,58.8075
22,0.984587409522239,0.9267384968226469,56.25,59.195
23,0.9779188493010483,0.9201729757876336,55.078125,59.685
24,0.9729496210489377,0.9126426894453508,59.765625,60.295
25,0.9675044973004878,0.9043040494375592,51.953125,60.4125
26,0.961056750131889,0.9002181027508989,55.078125,61.0
27,0.9554149583983101,0.8897341421887844,59.765625,61.365
28,0.9503252155416224,0.8862922983833507,49.21875,61.0775
29,0.9458263948493025,0.8883451992952371,56.25,61.6125
30,0.9398647092964431,0.8726514940020405,56.25,62.4325
31,0.9347437754016005,0.8766265473788297,57.421875,61.7475
32,0.9305940486266685,0.8614771313305143,60.546875,63.1925
33,0.9264458291666369,0.8579982617233373,51.953125,63.4875
34,0.9204043030204944,0.8521337328077871,57.8125,63.3875
35,0.9153841345720541,0.847817591474026,52.34375,64.215
36,0.911220182612853,0.8394788269755207,68.75,64.3175
37,0.9063871941807479,0.8371517975119096,59.765625,64.395
38,0.9027069465746425,0.8349310589742057,61.71875,64.665
39,0.8968200157333931,0.835788373705707,64.453125,64.165
40,0.8932415452891257,0.8186717584163328,60.546875,65.485
